alias_id,steamid64,source_id,player_name,observed_at
91,76561198807481787,4,Tilar 3.0,2020-07-14T05:35:29Z
92,76561198817905888,4,MYG)T,2020-06-17T16:57:26Z
93,76561198831502875,4,KINOPIO from Mario Kart 64,2021-09-01T08:24:43Z
94,76561198832495198,4,"










 ุ",2021-03-03T04:16:47Z
95,76561198833936581,4,christmas chimp,2020-06-30T03:33:13Z
96,76561198834858012,4,Casio,2020-08-06T05:42:52Z
97,76561198852238402,4,(2)The Gang,2021-01-21T05:57:25Z
98,76561198866127345,4,Ryzen 9 3950X,2020-06-25T03:16:26Z
99,76561198867543675,4,VAYGR | trade.tf,2020-12-31T02:53:16Z
100,76561198879199934,4,d9 man for life man,2021-06-26T04:05:10Z
101,76561198880443003,4,Family Gu‏y Joe Figurine (rea,2021-01-21T05:55:43Z
102,76561198883988675,4,cat-bot 2,2020-09-20T04:54:02Z
103,76561198933605366,4,n23178342uygfjojdshfroahsriuagi,2021-02-01T09:34:37Z
104,76561198950238599,4,Keep,2021-02-01T09:34:41Z
105,76561198952354381,4,cobus yolus,2020-06-25T00:33:08Z
106,76561198962123741,4,bun‏ker boy‏‏‏,2020-06-07T07:43:40Z
107,76561198962288576,4,bunker‏ boy‏‏‏,2020-06-07T07:29:04Z
108,76561198962297153,4,/id/ras‏py_on_osu‏‏,2020-06-03T20:55:28Z
109,76561198962364138,4,Papyrus123‏,2020-07-11T23:37:13Z
110,76561198962371898,4,/id/raspy_on_osu‏‏‏,2020-06-04T02:43:15Z
111,76561198962408559,4,/id/raspy_‏on_osu‏‏,2020-06-04T05:28:27Z
112,76561198962426691,4,r‏aspy,2020-06-07T07:31:12Z
113,76561198962430542,4,/id/‏raspy_on_osu‏‏,2020-06-04T06:26:52Z
114,76561198962446845,4,rasp‏y upset bot makers‏,2020-05-29T07:22:48Z
115,76561198962497663,4,ra‏spy‏,2020-06-07T07:44:09Z
116,76561198962540096,4,/id/raspy‏_on_osu‏‏,2020-06-04T03:14:30Z
117,76561198962558280,4,/id/raspy_on_‏osu‏‏,2020-06-04T04:36:41Z
118,76561198962610003,4,/id/raspy_on‏_osu‏‏,2020-06-04T04:31:23Z
119,76561198962611832,4,/id/r‏aspy_on_osu‏‏,2020-06-04T01:55:44Z
120,76561198962613757,4,Orange Ma‏dness‏‏‏,2020-06-18T02:29:08Z
121,76561198962811291,4,szymon16062008‏,2020-07-11T23:13:22Z
122,76561198967125999,4,rasp‏y‏,2020-06-07T08:10:09Z
123,76561198968316491,4,Alice ^=^,2020-06-28T22:33:51Z
124,76561198970807419,4,G‏erm,2020-08-06T06:03:52Z
125,76561198973672188,4,spikeymikey bot 10,2020-08-02T07:57:22Z
126,76561198978705434,4,cgprs59,2021-02-10T05:06:49Z
127,76561198980983951,4,EldɇrVoid Bot #2,2020-06-10T06:03:11Z
128,76561198981108522,4,EldɇrVoid Bot #3,2020-06-10T06:03:11Z
129,76561198982795756,4,EldɇrVoid Bot #5,2020-06-10T06:03:10Z
130,76561198983049621,4,EldɇrVoid Bot #4,2020-06-10T06:03:10Z
131,76561198984082228,4,royalhack.net B0T,2021-09-01T08:19:06Z
132,76561198986539626,4,irc.myg0t.gg:6969#myg0t,2020-07-15T05:21:47Z
133,76561198987384274,4,Trollgineer,2021-02-25T02:28:00Z
134,76561198988731629,4,no u pow,2021-02-01T09:33:01Z
135,76561198994148594,4,ANDR0MEDA :3,2020-08-18T07:35:12Z
136,76561199001309943,4,Miroslav,2020-09-22T05:01:51Z
137,76561199008029360,4,ASMR,2020-06-24T21:35:52Z
138,76561199011370892,4,ziggy,2020-07-14T05:39:20Z
139,76561199012923689,4,(2)NOT A N O N'S BOT,2021-03-16T03:31:06Z
140,76561199013487132,4,youtube.com/watch?v=KDhsaKzXcuo,2020-05-27T23:45:31Z
141,76561199014922777,4,Mac  맥,2021-03-06T04:07:11Z
142,76561199014970374,4,igor,2020-06-07T03:45:58Z
143,76561199016792533,4,bunker boy‏,2020-06-07T07:54:05Z
144,76561199016815020,4,bunker bo‏y,2020-06-07T07:28:26Z
145,76561199016933707,4,boop ‏   ,2020-06-06T10:47:34Z
146,76561199017022916,4,/id/raspy‏_on_osu‏,2020-06-04T05:51:14Z
147,76561199017158705,4,CAN YOU ‏QUACK,2020-05-24T09:00:52Z
148,76561199017232553,4,bunker bo‏y‏,2020-06-07T08:11:51Z
149,76561199017250459,4,raspy   ‏ ‏,2020-05-30T07:32:48Z
150,76561199017333165,4,bunk‏er boy‏,2020-06-07T08:01:22Z
151,76561199017393664,4,bunk‏er boy,2020-06-07T07:56:06Z
